경과일_tau,잔존율_SRT8일,잔존율_SRT12일,잔존율_SRT20일,잔존율_SRT41일,잔존율_채택_SRT12일,누적잔존_비중_SRT12일,메탄발생가중_음폐수,누적메탄_비중_음폐수,메탄발생가중_가축분뇨,누적메탄_비중_가축분뇨,메탄발생가중_음식물,누적메탄_비중_음식물
27,0.03422,0.1054,0.25924,0.51761,0.1054,0.90349,1e-06,1.0,0.000972,0.98968,1e-05,0.99998
28,0.0302,0.09697,0.2466,0.50514,0.09697,0.91125,1e-06,1.0,0.000826,0.99123,7e-06,0.99999
29,0.02665,0.08922,0.23457,0.49297,0.08922,0.91838,0.0,1.0,0.000701,0.99255,4e-06,0.99999
30,0.02352,0.08208,0.22313,0.48109,0.08208,0.92495,0.0,1.0,0.000596,0.99368,3e-06,0.99999
31,0.02075,0.07552,0.21225,0.4695,0.07552,0.93099,0.0,1.0,0.000506,0.99463,2e-06,1.0
32,0.01832,0.06948,0.2019,0.45818,0.06948,0.93655,0.0,1.0,0.00043,0.99544,1e-06,1.0
33,0.01616,0.06393,0.19205,0.44714,0.06393,0.94166,0.0,1.0,0.000365,0.99613,1e-06,1.0
34,0.01426,0.05882,0.18268,0.43637,0.05882,0.94637,0.0,1.0,0.00031,0.99671,1e-06,1.0
35,0.01259,0.05411,0.17377,0.42585,0.05411,0.9507,0.0,1.0,0.000263,0.99721,0.0,1.0
36,0.01111,0.04979,0.1653,0.41559,0.04979,0.95468,0.0,1.0,0.000224,0.99763,0.0,1.0
