date,year,Y_COD,A1_dev_pct,A2,A3_z,FAN_A_mgL,A4_FAN_ratio,n_acute,acute_grade,C1_burden_sm,chronic_phase
2019-08-01,2019,0.29636733961373557,-2.7968919402990733,False,-0.5388760266807288,,,0,정상,-1.8277096114519442,정상
2019-08-02,2019,,,False,-0.4144325808111705,,,0,정상,-1.82131901840491,정상
2019-08-03,2019,,,False,0.6812762432857912,,,0,정상,-1.8149284253578757,정상
2019-08-04,2019,,,False,0.050180348614954066,,,0,정상,-1.738241308793459,정상
2019-08-05,2019,0.31977199306172416,4.879409575143789,False,-0.9606425837687059,299.911291,0.9602397768370231,0,정상,-1.6615541922290422,정상
2019-08-06,2019,0.31007923662083914,1.2467692277365217,False,-0.7139176332833833,,,0,정상,-1.6296012269938653,정상
2019-08-07,2019,0.3196182802973102,4.361448444216687,False,-0.76269378058432,,,0,정상,-1.5752811860940685,정상
2019-08-08,2019,0.33870022025855206,10.532751122179619,False,-0.6906643599632684,,,0,정상,-1.5752811860940685,정상
2019-08-09,2019,0.23405904988693246,-23.575267832129033,False,-1.245869415229717,,,1,주의,-1.5752811860940685,정상
2019-08-10,2019,,,False,-0.34328108064625357,,,0,정상,-1.5529141104294486,정상
2019-08-11,2019,,,False,0.6389599138951865,,,0,정상,-1.5529141104294486,정상
2019-08-12,2019,0.335923721340388,9.626657634321356,False,-1.4201124953885922,384.416286,1.2308033067056394,1,주의,-1.5529141104294486,정상
2019-08-13,2019,0.30318112548089066,-0.7843401840358144,False,-1.2701517660591635,,,0,정상,-1.5529141104294486,정상
2019-08-14,2019,0.34667406702073905,13.134967379902761,False,-0.6110127725347652,,,0,정상,-1.501789366053169,정상
2019-08-15,2019,0.3234366826066979,5.495008695906312,False,-0.09545437088611325,,,0,정상,-1.4474693251533721,정상
2019-08-16,2019,0.314186785115035,2.3113298772813096,False,-0.05658274811214165,,,0,정상,-1.4474693251533721,정상
2019-08-17,2019,,,False,-0.4585964035262647,,,0,정상,-1.4506646216768893,정상
2019-08-18,2019,,,False,-0.3890106731745319,,,0,정상,-1.4506646216768893,정상
2019-08-19,2019,,,False,-1.269882060544093,489.312592,1.5666546350388166,1,주의,-1.4474693251533721,정상
2019-08-20,2019,0.32116260562200816,3.6348477480293573,False,-1.1941591044998499,,,0,정상,-1.444274028629855,정상
2019-08-21,2019,,,False,-0.25965985371433287,,,0,정상,-1.3420245398772956,정상
2019-08-22,2019,0.2834804012632361,-8.524692133546008,False,1.077000240571584,,,0,정상,-1.1886503067484622,정상
