date,methane_true,final_ensemble,sarimax,xgboost,randomforest,persistence_baseline
2023-08-01,8515.451999999997,8279.711804616658,8272.449281565714,7198.975,7234.119201778476,8402.004
2023-08-02,8503.09,8393.947722153262,8385.688519217107,7198.975,7234.119201778476,8515.451999999997
2023-08-03,8398.072999999999,8405.611814266827,8397.250845036504,7198.975,7234.119201778476,8503.09
2023-08-04,8209.135999999999,8330.385251432654,8322.680615198355,7198.975,7234.119201778476,8398.072999999999
2023-08-07,7441.090999999999,8066.666421714004,8061.2626664863055,7198.975,7234.119201778476,8209.135999999999
2023-08-08,7123.418999999999,7502.310539918598,7501.830648985202,7198.975,7234.119201778476,7441.090999999999
2023-08-09,7391.534000000001,7218.957388721358,7220.94968335183,7198.975,7234.119201778476,7123.418999999999
2023-08-11,8137.354499999999,7343.190858974234,7344.099247565861,7654.2476,7498.3021081383895,7391.534000000001
2023-08-14,7350.941,7931.454834666589,7927.230766808358,7180.6426,7235.59938003335,8137.354499999999
2023-08-16,7295.5215,7418.16876012464,7418.422985231408,7198.975,7178.34454309957,7350.941
2023-08-17,7523.158,7322.896005508518,7323.981461634234,7198.975,7234.119201778476,7295.5215
2023-08-18,7481.65,7481.483840078484,7481.185656906128,7198.975,7234.119201778476,7523.158
2023-08-21,7095.854499999999,7482.210206145819,7481.905685610713,7226.751,7244.953061586782,7481.65
2023-08-22,7383.735,7082.610091562788,7085.7919823501525,7634.4683,7663.521169416113,7095.854499999999
2023-08-23,7196.8875,7214.738289969815,7216.767395184472,7362.426,7442.092920954648,7383.735
2023-08-24,7439.352000000001,7178.049831845552,7180.399034705681,7376.9966,7412.157656265755,7196.8875
2023-08-25,7449.466499999999,7347.686461338944,7348.555626921334,7060.9062,7168.378082206154,7439.352000000001
2023-08-29,6353.235,7073.432882588598,7076.694842235076,6859.5903,6813.540301976633,7449.466499999999
2023-08-30,6631.069500000001,6394.615424693712,6403.799897334376,6684.4116,6685.331468697088,6353.235
2023-08-31,6766.773,6547.3683042664825,6555.220046135939,6786.7734,6616.918510784226,6631.069500000001
2023-09-01,6679.858499999999,6682.317081551826,6688.991429001433,6727.955,6558.724208643269,6766.773
2023-09-04,5853.1125,6383.091121907586,6392.376141215407,6610.8545,6522.617766519962,6679.858499999999
2023-09-05,6775.236,6023.446409556025,6035.869239268424,6557.373,6650.322212204823,5853.1125
2023-09-06,6409.584,6484.810335183205,6493.207879728295,6399.383,6484.821900742745,6775.236
2023-09-08,6406.365,6349.832032461511,6359.407229028517,6351.468,6434.8659145746,6409.584
2023-09-12,5409.468000000001,6270.492952556302,6280.76036280494,6387.7397,6519.287361429347,6406.365
2023-09-13,5606.01,5502.633113909151,5519.59990971308,6387.7397,6509.987418304816,5409.468000000001
2023-09-14,5791.2975,5632.832780877663,5648.663617064627,6387.7397,6510.178483347409,5606.01
2023-09-15,5748.897000000001,5771.874177833921,5786.49191251528,6366.7534,6512.669184575937,5791.2975
