fold,variant,h,R2,persistence
2 단절걸침,pool+VSin+EMA+SURGE (원안),5,0.5867859873050897,0.6405095690959695
2 단절걸침,pool+VSin+EMA+SURGE (원안),7,0.6520028641896746,0.5979568285648256
2 단절걸침,pool+VSin+EMA+SURGE (원안),10,0.40324793475753606,0.4024389818584517
2 단절걸침,pool+VSin+EMA+SURGE (원안),14,0.362562526322712,0.2340534873915593
2 단절걸침,pool+EMA+SURGE (VSin 제외),1,0.9165464379699788,0.9243907832977405
2 단절걸침,pool+EMA+SURGE (VSin 제외),3,0.79619822691609,0.8502916013381995
2 단절걸침,pool+EMA+SURGE (VSin 제외),5,0.5885750599460342,0.6405095690959695
2 단절걸침,pool+EMA+SURGE (VSin 제외),7,0.6531697740982914,0.5979568285648256
2 단절걸침,pool+EMA+SURGE (VSin 제외),10,0.4035828397594545,0.4024389818584517
2 단절걸침,pool+EMA+SURGE (VSin 제외),14,0.3634605915382878,0.2340534873915593
2 단절걸침,pool+CODema+CODsurge,1,0.9045097891342191,0.9243907832977405
2 단절걸침,pool+CODema+CODsurge,3,0.7480933228659323,0.8502916013381995
2 단절걸침,pool+CODema+CODsurge,5,0.4639027401688076,0.6405095690959695
2 단절걸침,pool+CODema+CODsurge,7,0.5440130448217657,0.5979568285648256
2 단절걸침,pool+CODema+CODsurge,10,0.16531901597624044,0.4024389818584517
2 단절걸침,pool+CODema+CODsurge,14,0.042898956257029996,0.2340534873915593
2 단절걸침,pool+VSin+CODsurge,1,0.9230813501166522,0.9243907832977405
2 단절걸침,pool+VSin+CODsurge,3,0.8079440756502455,0.8502916013381995
2 단절걸침,pool+VSin+CODsurge,5,0.6021849777456472,0.6405095690959695
2 단절걸침,pool+VSin+CODsurge,7,0.6628859197152464,0.5979568285648256
2 단절걸침,pool+VSin+CODsurge,10,0.4045117204093446,0.4024389818584517
2 단절걸침,pool+VSin+CODsurge,14,0.3468959228794892,0.2340534873915593
2 단절걸침,pool+VSin+SURGE+유입pH,1,0.9002742045265675,0.9243907832977405
2 단절걸침,pool+VSin+SURGE+유입pH,3,0.7815548390637233,0.8502916013381995
2 단절걸침,pool+VSin+SURGE+유입pH,5,0.4890658755450812,0.6405095690959695
2 단절걸침,pool+VSin+SURGE+유입pH,7,0.5727383974770782,0.5979568285648256
2 단절걸침,pool+VSin+SURGE+유입pH,10,0.18339485184942306,0.4024389818584517
2 단절걸침,pool+VSin+SURGE+유입pH,14,0.06177555366954157,0.2340534873915593
2 단절걸침,pool만,1,0.9006967333923447,0.9243907832977405
2 단절걸침,pool만,3,0.7577073165185595,0.8502916013381995
2 단절걸침,pool만,5,0.4701582839989237,0.6405095690959695
2 단절걸침,pool만,7,0.5650722134082056,0.5979568285648256
2 단절걸침,pool만,10,0.23073897576212243,0.4024389818584517
2 단절걸침,pool만,14,0.12882023934814046,0.2340534873915593
3 단절관통,pool+VSin (현 확정안),1,0.897483464050983,0.8918544685985179
3 단절관통,pool+VSin (현 확정안),3,0.7049430440142852,0.7095619456953257
3 단절관통,pool+VSin (현 확정안),5,0.6986868027790069,0.6182440473059997
3 단절관통,pool+VSin (현 확정안),7,0.5842642874646825,0.504298953054904
3 단절관통,pool+VSin (현 확정안),10,0.6277342578851317,0.3714718203647148
3 단절관통,pool+VSin (현 확정안),14,0.5970100784756056,0.2862067663433928
3 단절관통,pool+VSin+EMA,1,0.9004734700274636,0.8918544685985179
3 단절관통,pool+VSin+EMA,3,0.6592445055632876,0.7095619456953257
3 단절관통,pool+VSin+EMA,5,0.6556041469111931,0.6182440473059997
3 단절관통,pool+VSin+EMA,7,0.5278837690669935,0.504298953054904
3 단절관통,pool+VSin+EMA,10,0.45782314791756196,0.3714718203647148
3 단절관통,pool+VSin+EMA,14,0.3755875473720186,0.2862067663433928
3 단절관통,pool+VSin+SURGE,1,0.8968696911525322,0.8918544685985179
3 단절관통,pool+VSin+SURGE,3,0.7024247528645321,0.7095619456953257
3 단절관통,pool+VSin+SURGE,5,0.6989187061878811,0.6182440473059997
3 단절관통,pool+VSin+SURGE,7,0.591392015905571,0.504298953054904
3 단절관통,pool+VSin+SURGE,10,0.6309012107024822,0.3714718203647148
3 단절관통,pool+VSin+SURGE,14,0.6085964674507294,0.2862067663433928
3 단절관통,pool+VSin+EMA+SURGE (원안),1,0.8971200350115887,0.8918544685985179
3 단절관통,pool+VSin+EMA+SURGE (원안),3,0.6491692238482666,0.7095619456953257
3 단절관통,pool+VSin+EMA+SURGE (원안),5,0.649854328472929,0.6182440473059997
3 단절관통,pool+VSin+EMA+SURGE (원안),7,0.5196875969253165,0.504298953054904
