date,variable,flag,severity,value,detail
2019-05-21,소화조_온도,고정값,주의,38.01666666666667,5일 연속 동일값 (~2019-05-28)
2019-05-21,투입량합계,고정값,주의,228.0,6일 연속 동일값 (~2019-05-26)
2019-08-05,소화조_온도,고정값,주의,39.8,5일 연속 동일값 (~2019-08-09)
2019-08-27,투입량합계,고정값,주의,276.0,6일 연속 동일값 (~2019-09-01)
2019-09-06,투입량합계,고정값,주의,204.0,5일 연속 동일값 (~2019-09-10)
2019-11-05,투입량합계,고정값,주의,224.0,5일 연속 동일값 (~2019-11-09)
2019-11-12,투입량합계,고정값,주의,216.0,5일 연속 동일값 (~2019-11-16)
2019-12-10,소화조_온도,고정값,주의,39.0,9일 연속 동일값 (~2019-12-20)
2020-02-06,소화조_온도,고정값,주의,39.9,5일 연속 동일값 (~2020-02-12)
2020-02-25,소화조_온도,고정값,주의,39.9,6일 연속 동일값 (~2020-03-03)
2020-03-31,투입량합계,고정값,주의,168.0,6일 연속 동일값 (~2020-04-05)
2020-05-04,소화조_온도,고정값,주의,39.9,5일 연속 동일값 (~2020-05-11)
2020-07-17,소화조_온도,고정값,주의,38.45,5일 연속 동일값 (~2020-07-23)
2020-09-27,투입량합계,고정값,주의,144.0,8일 연속 동일값 (~2020-10-04)
2020-12-15,투입량합계,고정값,주의,204.0,6일 연속 동일값 (~2020-12-20)
2021-01-01,투입량합계,고정값,주의,144.0,7일 연속 동일값 (~2021-01-07)
2021-01-25,투입량합계,고정값,주의,140.0,5일 연속 동일값 (~2021-01-29)
2021-02-03,투입량합계,고정값,주의,152.0,8일 연속 동일값 (~2021-02-10)
2021-02-11,투입량합계,고정값,주의,156.0,5일 연속 동일값 (~2021-02-15)
2021-02-18,투입량합계,고정값,주의,164.0,5일 연속 동일값 (~2021-02-22)
2021-02-25,투입량합계,고정값,주의,144.0,8일 연속 동일값 (~2021-03-04)
2021-03-04,소화조_온도,고정값,주의,38.0,7일 연속 동일값 (~2021-03-15)
2021-03-24,투입량합계,고정값,주의,160.0,6일 연속 동일값 (~2021-03-29)
2021-04-22,소화조_온도,고정값,주의,38.0,5일 연속 동일값 (~2021-04-28)
2021-06-18,투입량합계,고정값,주의,200.0,7일 연속 동일값 (~2021-06-24)
2021-06-26,투입량합계,고정값,주의,192.0,5일 연속 동일값 (~2021-06-30)
2021-07-28,투입량합계,고정값,주의,224.0,5일 연속 동일값 (~2021-08-01)
2021-08-23,소화조_온도,고정값,주의,39.2,8일 연속 동일값 (~2021-09-03)
2021-09-06,소화조_온도,고정값,주의,39.15000000000001,5일 연속 동일값 (~2021-09-10)
2021-10-04,소화조_온도,고정값,주의,38.3,7일 연속 동일값 (~2021-10-13)
2021-10-06,투입량합계,고정값,주의,200.0,7일 연속 동일값 (~2021-10-12)
2021-10-22,소화조_온도,고정값,주의,38.0,6일 연속 동일값 (~2021-10-29)
2021-10-22,투입량합계,고정값,주의,220.0,5일 연속 동일값 (~2021-10-26)
2021-11-26,소화조_온도,고정값,주의,38.0,5일 연속 동일값 (~2021-12-02)
2021-11-29,투입량합계,고정값,주의,224.0,5일 연속 동일값 (~2021-12-03)
2021-12-04,투입량합계,고정값,주의,228.0,8일 연속 동일값 (~2021-12-11)
2021-12-14,투입량합계,고정값,주의,220.0,7일 연속 동일값 (~2021-12-20)
2021-12-21,투입량합계,고정값,주의,216.0,6일 연속 동일값 (~2021-12-26)
2022-01-13,투입량합계,고정값,주의,152.0,8일 연속 동일값 (~2022-01-20)
2022-01-26,투입량합계,고정값,주의,160.0,5일 연속 동일값 (~2022-01-30)
2022-02-07,투입량합계,고정값,주의,180.0,9일 연속 동일값 (~2022-02-15)
2022-04-05,투입량합계,고정값,주의,180.0,8일 연속 동일값 (~2022-04-12)
2022-04-14,투입량합계,고정값,주의,192.0,5일 연속 동일값 (~2022-04-18)
2022-06-08,소화조_온도,고정값,주의,38.05,5일 연속 동일값 (~2022-06-14)
2022-06-17,소화조_온도,고정값,주의,38.0,6일 연속 동일값 (~2022-06-24)
2022-06-27,소화조_온도,고정값,주의,38.6,5일 연속 동일값 (~2022-07-01)
2022-07-01,투입량합계,고정값,주의,224.0,5일 연속 동일값 (~2022-07-05)
2022-07-04,소화조_온도,고정값,주의,38.95,5일 연속 동일값 (~2022-07-08)
2022-07-11,소화조_온도,고정값,주의,38.8,5일 연속 동일값 (~2022-07-15)
2022-07-13,투입량합계,고정값,주의,224.0,6일 연속 동일값 (~2022-07-18)
2022-07-18,소화조_온도,고정값,주의,39.05,5일 연속 동일값 (~2022-07-22)
2022-07-20,투입량합계,고정값,주의,224.0,5일 연속 동일값 (~2022-07-24)
2022-08-08,소화조_온도,고정값,주의,40.0,6일 연속 동일값 (~2022-08-16)
2022-08-20,투입량합계,고정값,주의,204.0,5일 연속 동일값 (~2022-08-24)
2022-08-22,소화조_온도,고정값,주의,40.25,5일 연속 동일값 (~2022-08-26)
2022-08-26,투입량합계,고정값,주의,204.0,7일 연속 동일값 (~2022-09-01)
2022-10-25,투입량합계,고정값,주의,192.0,7일 연속 동일값 (~2022-10-31)
2022-11-21,투입량합계,고정값,주의,204.0,9일 연속 동일값 (~2022-11-29)
2022-12-08,투입량합계,고정값,주의,224.0,7일 연속 동일값 (~2022-12-14)
2023-01-07,투입량합계,고정값,주의,204.0,7일 연속 동일값 (~2023-01-13)
2023-02-24,투입량합계,고정값,주의,180.0,5일 연속 동일값 (~2023-02-28)
2023-04-24,소화조_온도,고정값,주의,28.55,8일 연속 동일값 (~2023-05-04)
2023-05-15,소화조_온도,고정값,주의,32.0,9일 연속 동일값 (~2023-05-26)
2023-05-21,투입량합계,고정값,주의,168.0,8일 연속 동일값 (~2023-05-28)
2023-05-29,소화조_온도,고정값,주의,32.8,7일 연속 동일값 (~2023-06-06)
2023-05-30,투입량합계,고정값,주의,180.0,8일 연속 동일값 (~2023-06-06)
2023-06-07,소화조_온도,고정값,주의,36.8,5일 연속 동일값 (~2023-06-14)
2023-06-10,투입량합계,고정값,주의,192.0,5일 연속 동일값 (~2023-06-14)
2023-07-07,투입량합계,고정값,주의,216.0,7일 연속 동일값 (~2023-07-13)
2023-08-13,투입량합계,고정값,주의,216.0,9일 연속 동일값 (~2023-08-21)
2023-08-23,투입량합계,고정값,주의,204.0,5일 연속 동일값 (~2023-08-27)
2023-08-29,투입량합계,고정값,주의,192.0,6일 연속 동일값 (~2023-09-03)
