origin_idx,h,fold,y_true,pred_HistGBM,pred_RandomForest,pred_ExtraTrees,pred_ElasticNet,pred_BayesianRidge,pred_kNN,pred_Naive,pred_SeasonalNaive,pred_Stack
1975,2,10,4973.898,5533.713858594133,5247.3230927789655,5269.874068118053,5019.52978515625,5052.9794921875,5174.61162210774,5135.3675,5456.559834722223,5166.334861707401
1975,3,10,4716.672,5604.335528999985,5268.401762740671,5303.236318006942,5019.5029296875,5051.876953125,5248.248182588121,5135.3675,5456.559834722223,5186.273461431395
1976,1,10,4973.898,5294.139579432088,5058.628631109624,5173.539140947917,5086.5615234375,5102.14306640625,5310.936568834554,5025.996,5429.991134722222,5126.502305170647
1976,2,10,4716.672,5353.734497522976,5095.790193644644,5218.75209582639,5086.53466796875,5101.0400390625,5325.3513809057495,5025.996,5429.991134722222,5153.674276184029
1977,1,10,4716.672,5194.343630767945,4933.921448927879,5106.382603529762,4994.0537109375,5037.74609375,5297.419441082089,4973.898,5408.823918055556,5060.6635094724625
1978,3,10,4623.402,4938.70703669759,5008.197539361014,5211.325601217261,4904.8916015625,4882.33154296875,5441.792018236616,4716.672,5379.7869013888885,5064.754237016798
1979,2,10,4623.402,4843.7271408773995,5031.172201651984,5185.985133265871,4890.61865234375,4893.04052734375,5475.846071234825,4716.672,5348.547345833333,5053.41863048152
1979,3,10,4625.691,4854.927399519653,5078.814933278076,5251.73043969444,4890.591796875,4891.9375,5502.948589949639,4716.672,5348.547345833333,5093.123357193573
1980,1,10,4623.402,4798.557683219278,4964.826532686705,5060.456946203372,4764.1455078125,4736.142578125,5395.394562400999,4716.672,5310.937445833333,4916.259540728121
1980,2,10,4625.691,4811.300867663692,5035.678673732339,5170.064487481148,4764.119140625,4735.0400390625,5395.648776432807,4716.672,5310.937445833333,4982.737554499233
1980,3,10,4964.608,4825.069292347631,5067.564510448213,5232.517854701386,4764.091796875,4733.9375,5417.698166514929,4716.672,5310.937445833333,5020.433100651191
1981,1,10,4625.691,4693.8544685258785,4922.309959954564,4988.93588369097,4661.71728515625,4648.970703125,5375.18367237943,4623.402,5280.9022958333335,4838.969160307279
1981,2,10,4964.608,4808.346999223758,4979.602500823809,5082.1586152465225,4661.6904296875,4647.8681640625,5430.289475018727,4623.402,5280.9022958333335,4895.446039190514
1981,3,10,5152.136,4869.911166164039,5023.219561450742,5139.38706455059,4661.66357421875,4646.765625,5407.868823912905,4623.402,5280.9022958333335,4929.952344225633
1982,1,10,4964.608,4835.6033588279515,4909.4134296941975,4991.875056481148,4728.6015625,4696.4580078125,5514.384493341207,4625.691,5257.343233333334,4859.085811983581
1982,2,10,5152.136,4953.15727767053,4965.836147284675,5115.515324168646,4728.5751953125,4695.35498046875,5516.701460275607,4625.691,5257.343233333334,4934.129082547849
1982,3,10,5378.4005,5023.736614986486,5005.829468276603,5209.07850373809,4728.5478515625,4694.25244140625,5555.804091422635,4625.691,5257.343233333334,4990.813767720383
1983,1,10,5152.136,5056.381996938207,4975.691351841569,5179.156662145832,4970.2666015625,5044.38623046875,5509.054691002082,4964.608,5249.666566666667,5107.646160672102
1983,2,10,5378.4005,5122.796151260433,5026.578832364586,5285.063078187496,4970.23974609375,5043.28369140625,5474.394784599155,4964.608,5249.666566666667,5171.865042152342
1984,1,10,5378.4005,5690.238639818336,5369.91718407113,5379.76461558085,5113.30029296875,5169.81640625,5476.951127117578,5152.136,5245.170666666667,5278.49164267119
1986,3,10,5378.784,5821.491876202612,5734.662626544887,5775.631234960816,5265.0908203125,5297.8642578125,5718.902746551556,5378.4005,5242.0697666666665,5569.531201341029
1987,2,10,5378.784,5790.355192995443,5690.287671534022,5755.733846211807,5177.7041015625,5153.49560546875,5575.282950793808,5378.4005,5232.339600000001,5501.682496702562
1987,3,10,5430.009,5843.672701418029,5719.9677347924535,5791.529865590281,5177.67724609375,5152.392578125,5656.402509900264,5378.4005,5232.339600000001,5523.106458202095
1988,1,10,5378.784,5632.260007412887,5567.5034303014845,5590.258200656248,5153.41748046875,5071.046875,5588.572855696333,5378.4005,5215.562320833334,5368.865504609643
1988,2,10,5430.009,5685.734457531617,5628.938210121128,5668.923206465774,5153.390625,5069.9443359375,5566.845134593697,5378.4005,5215.562320833334,5416.456483606639
1988,3,10,5343.597,5748.189095373487,5655.006940998607,5708.250437330358,5153.36376953125,5068.84130859375,5627.862028974613,5378.4005,5215.562320833334,5440.035863630339
1989,1,10,5430.009,5682.865316700877,5633.879447651985,5675.648431361112,5291.7529296875,5258.93505859375,5824.473754008737,5378.784,5209.534120833333,5493.482101996109
1989,2,10,5343.597,5723.495070240534,5699.652254523014,5773.156744424109,5291.72607421875,5257.83251953125,5882.1384403012335,5378.784,5209.534120833333,5552.574859821827
